-4.1635	7.6073
-2.2156	4.5206
-1.4770	1.7898
-0.5636	0.5518
-0.2040	0.3265
-1.5300	1.6441
-0.5641	0.6017
-0.8982	1.3615
-1.7710	1.3549
-1.3255	0.5210
-3.5341	3.6288
-2.5292	2.0725
-1.5139	2.9646
-2.3931	3.5888
-1.3185	1.9476
-1.2617	0.1283
-3.2858	-0.8574
-0.4391	0.6570
-3.5569	3.4894
-0.5948	0.4611
-0.6021	0.2731
-0.4251	0.3966
-0.7967	0.3968
-0.2927	0.2393
-0.5751	0.2553
-1.3836	0.3329
-3.3885	0.3120
-0.8791	0.9382
-1.9787	-1.0492
-0.5139	0.7777
-0.3874	0.0958
-0.1340	0.2273
-0.8306	1.0337
-0.3245	0.4779
-1.4570	1.1179
-1.8119	0.7192
-0.7150	0.9555
-0.2908	0.5862
-0.0167	0.0157
-0.9538	0.8536
-0.8923	0.7388
-0.1197	0.2344
-3.0949	0.3949
-2.1933	0.1328
-1.3009	-0.0966
-0.0040	0.0102
-0.6350	0.3290
-0.5755	0.2600
-0.0066	0.0134
-0.9165	1.6194
-0.6399	1.0658
-0.6140	0.9961
-0.0047	0.0105
-0.7261	0.4634
-0.6908	0.4184
-0.6795	0.4070
-4.2434	0.5758
-3.7192	0.0151
-1.5605	0.3923
-0.0370	0.0719
-0.1690	0.3137
-1.1514	1.5686
-1.0270	1.4738
-0.6054	0.8123
-0.0598	0.0249
-0.1753	0.1494
-0.1699	0.1454
-0.1695	0.1446
-0.5676	0.4708
-0.4338	0.3820
-0.3349	0.3257
-0.7696	0.5083
-0.7072	0.4226
-0.5921	0.2978
-1.1514	1.5686
-1.0270	1.4738
-0.6054	0.8123
-6.8979	11.1851
-4.4767	8.2185
-2.5838	3.1891
-1.3943	1.3923
-1.4205	1.3377
-0.8109	0.5846
-7.3014	3.0746
-3.0608	2.1340
-1.3420	0.5449
-5.3209	5.1603
-2.5201	2.0816
-1.5330	2.9380
-2.3985	3.6076
-3.1750	3.1441
-3.2329	1.2987
-5.6171	0.0630
-3.9294	1.5909
-10.1716	4.3830
-0.5948	0.4611
-1.6215	0.8348
-0.9775	0.2782
-2.0267	0.1742
-0.7199	0.0288
-0.5855	0.2640
-4.1670	2.1912
-3.3961	0.3257
-0.8791	0.9382
-2.5629	-0.8829
-0.5139	0.7777
-1.8832	-0.2619
-0.1369	0.2321
-0.8869	1.1915
-0.3245	0.4779
-17.4758	-9.2122
-4.7628	-1.7387
-2.1617	-1.5875
-16.0882	-7.3790
-9.6624	-4.7081
-8.8675	-6.4105
-10.0744	-3.3910
-9.9160	3.9680
-10.9226	-2.8190
-6.0468	-2.9441
-7.6080	4.7904
-2.8901	-0.9614
-1.8762	1.1548
